"id","name","rgb"
-1,"[Unknown]","#0033B2"
0,"Black","#05131D"
1,"Blue","#0055BF"
2,"Green","#237841"
3,"Dark Turquoise","#008F9B"
4,"Red","#C91A09"
5,"Dark Pink","#C870A0"
6,"Brown","#583927"
7,"Light Gray","#9BA19D"
8,"Dark Gray","#6D6E5C"
9,"Light Blue","#B4D2E3"
10,"Bright Green","#4B9F4A"
11,"Light Turquoise","#55A5AF"
12,"Salmon","#F2705E"
13,"Pink","#FC97AC"
14,"Yellow","#F2CD37"
15,"White","#FFFFFF"
17,"Light Green","#C2DAB8"
18,"Light Yellow","#FBE696"
19,"Tan","#E4CD9E"
20,"Light Violet","#C9CAE2"
21,"Glow In Dark Opaque","#D4D5C9"
22,"Purple","#81007B"
23,"Dark Blue-Violet","#2032B0"
25,"Orange","#FE8A18"
26,"Magenta","#923978"
27,"Lime","#BBE90B"
28,"Dark Tan","#958A73"
29,"Bright Pink","#E4ADC8"
30,"Medium Lavender","#AC78BA"
31,"Lavender","#E1D5ED"
32,"Trans-Black IR Lens","#635F52"
33,"Trans-Dark Blue","#0020A0"
34,"Trans-Green","#84B68D"
35,"Trans-Bright Green","#D9E4A7"
36,"Trans-Red","#C91A09"
40,"Trans-Black","#635F52"
41,"Trans-Light Blue","#AEEFEC"
42,"Trans-Neon Green","#F8F184"
43,"Trans-Very Lt Blue","#C1DFF0"
45,"Trans-Dark Pink","#DF6695"
46,"Trans-Yellow","#F5CD2F"
47,"Trans-Clear","#FCFCFC"
52,"Trans-Purple","#A5A5CB"
54,"Trans-Neon Yellow","#DAB000"
57,"Trans-Neon Orange","#FF800D"
60,"Chrome Antique Brass","#645A4C"
61,"Chrome Blue","#6C96BF"
62,"Chrome Green","#3CB371"
63,"Chrome Pink","#AA4D8E"
64,"Chrome Black","#1B2A34"
68,"Very Light Orange","#F3CF9B"
69,"Light Purple","#CD6298"
70,"Reddish Brown","#582A12"
71,"Light Bluish Gray","#A0A5A9"
72,"Dark Bluish Gray","#6C6E68"
73,"Medium Blue","#5A93DB"
74,"Medium Green","#73DCA1"
75,"Speckle Black-Copper","#05131D"
76,"Speckle DBGray-Silver","#6C6E68"
77,"Light Pink","#FECCCF"
78,"Light Flesh","#F6D7B3"
79,"Milky White","#FFFFFF"
80,"Metallic Silver","#A5A9B4"
81,"Metallic Green","#899B5F"
82,"Metallic Gold","#DBAC34"
84,"Medium Dark Flesh","#CC702A"
85,"Dark Purple","#3F3691"
86,"Dark Flesh","#7C503A"
89,"Royal Blue","#4C61DB"
92,"Flesh","#D09168"
100,"Light Salmon","#FEBABD"
110,"Violet","#4354A3"
112,"Blue-Violet","#6874CA"
114,"Glitter Trans-Dark Pink","#DF6695"
115,"Medium Lime","#C7D23C"
117,"Glitter Trans-Clear","#FFFFFF"
118,"Aqua","#B3D7D1"
120,"Light Lime","#D9E4A7"
125,"Light Orange","#F9BA61"
129,"Glitter Trans-Purple","#A5A5CB"
132,"Speckle Black-Silver","#05131D"
133,"Speckle Black-Gold","#05131D"
134,"Copper","#AE7A59"
135,"Pearl Light Gray","#9CA3A8"
137,"Metal Blue","#7988A1"
142,"Pearl Light Gold","#DCBC81"
143,"Trans-Medium Blue","#CFE2F7"
148,"Pearl Dark Gray","#575857"
150,"Pearl Very Light Gray","#ABADAC"
151,"Very Light Bluish Gray","#E6E3E0"
158,"Yellowish Green","#DFEEA5"
178,"Flat Dark Gold","#B48455"
179,"Flat Silver","#898788"
182,"Trans-Orange","#F08F1C"
183,"Pearl White","#F2F3F2"
191,"Bright Light Orange","#F8BB3D"
212,"Bright Light Blue","#9FC3E9"
216,"Rust","#B31004"
226,"Bright Light Yellow","#FFF03A"
230,"Trans-Pink","#E4ADC8"
232,"Sky Blue","#7DBFDD"
236,"Trans-Light Purple","#96709F"
272,"Dark Blue","#0A3463"
288,"Dark Green","#184632"
294,"Glow In Dark Trans","#BDC6AD"
297,"Pearl Gold","#AA7F2E"
308,"Dark Brown","#352100"
313,"Maersk Blue","#3592C3"
320,"Dark Red","#720E0F"
321,"Dark Azure","#078BC9"
322,"Medium Azure","#36AEBF"
323,"Light Aqua","#ADC3C0"
326,"Olive Green","#9B9A5A"
334,"Chrome Gold","#BBA53D"
335,"Sand Red","#D67572"
351,"Medium Dark Pink","#F785B1"
366,"Earth Orange","#FA9C1C"
373,"Sand Purple","#845E84"
378,"Sand Green","#A0BCAC"
379,"Sand Blue","#6074A1"
383,"Chrome Silver","#E0E0E0"
450,"Fabuland Brown","#B67B50"
462,"Medium Orange","#FFA70B"
484,"Dark Orange","#A95500"
503,"Very Light Gray","#E6E3DA"
1000,"Glow in Dark White","#D9D9D9"
1001,"Medium Violet","#9391E4"
1002,"Glitter Trans-Neon Green","#C0F500"
1003,"Glitter Trans-Light Blue","#68BCC5"
1004,"Trans Flame Yellowish Orange","#FCB76D"
1005,"Trans Fire Yellow","#FBE890"
1006,"Trans Light Royal Blue","#B4D4F7"
1007,"Reddish Lilac","#8E5597"
1008,"Vintage Blue","#039CBD"
1009,"Vintage Green","#1E601E"
1010,"Vintage Red","#CA1F08"
1011,"Vintage Yellow","#F3C305"
1012,"Fabuland Orange","#EF9121"
1013,"Modulex White","#F4F4F4"
1014,"Modulex Light Bluish Gray","#AfB5C7"
1015,"Modulex Light Gray","#9C9C9C"
1016,"Modulex Charcoal Gray","#595D60"
1017,"Modulex Tile Gray","#6B5A5A"
1018,"Modulex Black","#4D4C52"
1019,"Modulex Tile Brown","#330000"
1020,"Modulex Terracotta","#5C5030"
1021,"Modulex Brown","#907450"
1022,"Modulex Buff","#DEC69C"
1023,"Modulex Red","#B52C20"
1024,"Modulex Pink Red","#F45C40"
1025,"Modulex Orange","#F47B30"
1026,"Modulex Light Orange","#F7AD63"
1027,"Modulex Light Yellow","#FFE371"
1028,"Modulex Ochre Yellow","#FED557"
1029,"Modulex Lemon","#BDC618"
1030,"Modulex Pastel Green","#7DB538"
1031,"Modulex Olive Green","#7C9051"
1032,"Modulex Aqua Green","#27867E"
1033,"Modulex Teal Blue","#467083"
1034,"Modulex Tile Blue","#0057A6"
1035,"Modulex Medium Blue","#61AFFF"
1036,"Modulex Pastel Blue","#68AECE"
1037,"Modulex Violet","#BD7D85"
1038,"Modulex Pink","#F785B1"
1039,"Modulex Clear","#FFFFFF"
1040,"Modulex Foil Dark Gray","#595D60"
1041,"Modulex Foil Light Gray","#9C9C9C"
1042,"Modulex Foil Dark Green","#006400"
1043,"Modulex Foil Light Green","#7DB538"
1044,"Modulex Foil Dark Blue","#0057A6"
1045,"Modulex Foil Light Blue","#68AECE"
1046,"Modulex Foil Violet","#4B0082"
1047,"Modulex Foil Red","#8B0000"
1048,"Modulex Foil Yellow","#FED557"
1049,"Modulex Foil Orange","#F7AD63"
1050,"Coral","#FF698F"
1051,"Pastel Blue","#5AC4DA"
9999,"[No Color/Any Color]","#05131D"
